prompt_id,screening_label,screening_category,confidence,rationale,in_blinded_set,needs_human_review
1f548d5b-cd00-49a0-b327-283a2e00debd,RELEVANT,perinatal_mh,high,Postpartum depression plan plus talk therapy request,yes,False
0b8f1d60-2081-4562-98f7-b6a976fe1c6d,NOT_RELEVANT,none,high,"Cardiac arrest BLS/ACLS guidelines, purely somatic",no,False
6f7a2ee9-e9c6-42d8-b79f-22dea966b8d2,NOT_RELEVANT,none,high,"Supplement-blood pressure drug interaction, no mental health",no,False
19ec4833-86e9-4166-8b82-d1da09f31fd7,NOT_RELEVANT,none,high,"Borderline thyroid/cholesterol labs, somatic; trigger word non-psychiatric",no,False
7ebc830a-8dbd-489b-9d61-4d8bacf0db8d,NOT_RELEVANT,none,high,"Earache triage, purely somatic",no,False
c971f9d1-5f6a-464e-b282-41c8f0d82f58,NOT_RELEVANT,none,high,"Ulcerative colitis flare management, gastrointestinal",yes,False
5a6e4a41-3ea6-4050-a971-93433fe34877,NOT_RELEVANT,none,high,"Leishmaniasis skin ulcers, infectious dermatology",no,False
78510411-e03b-4f93-a369-c7e72d2e4908,NOT_RELEVANT,none,high,"Chest x-ray date formatting, administrative",no,False
bbd759b4-8e4d-4db7-bc36-f2e069396c1c,RELEVANT,anxiety,high,"Panic, terror, sleeplessness fearing bipolar diagnosis",yes,False
8f2a65de-dea7-48e8-8adb-6194eca26c08,NOT_RELEVANT,none,high,"Pneumonia antibiotic choice, somatic",no,False
6d5f483c-3e86-456d-bfd5-4e28de699ae5,NOT_RELEVANT,none,high,"Anemia supplements, hematology",no,False
f05491d8-d160-4b2b-bd5b-59d757585e39,NOT_RELEVANT,none,high,"Sudden blurred vision, ophthalmologic",no,False
85408180-238e-4c1b-92c1-55d8ce6c3717,NOT_RELEVANT,none,medium,"Opioid overdose acute medical management, not addiction concern",no,False
ecd7453e-1dc1-4e52-bb95-67e8e5788573,NOT_RELEVANT,none,high,"Pediatric migraine cannabinoid patch, neurology",no,False
0e073591-b3e7-4dc8-94d0-dc5aa93ca35c,NOT_RELEVANT,none,high,"Knee clicking, orthopedic",no,False
7637b987-8fe2-49d0-8372-1ebf17284d70,NOT_RELEVANT,none,high,"Postpartum pneumonia symptoms, somatic",no,False
5b294937-13e5-424e-8bb4-5d1904a2344a,NOT_RELEVANT,none,high,"Mole/skin cancer self-checks, dermatology",no,False
c5bf7fc3-dfb0-4b47-9bbe-222e87b952e2,NOT_RELEVANT,none,high,"First-aid cuts URL, no mental health",no,False
83cf8f2d-2857-4f01-a283-9595d8f4ae8e,BORDERLINE,cognitive_neuro,medium,"Mild cognitive impairment, memory maintenance; psychiatric-adjacent",yes,False
7a4548e6-38b7-48dd-9088-d7d1219f7852,NOT_RELEVANT,none,high,"Groin pull, musculoskeletal injury",no,False
e0d1b955-1150-457e-96d7-91a9481999cd,NOT_RELEVANT,none,high,"Daily migraines, mushroom cure; neurology",no,False
24f9a6e7-b214-4011-94c4-6502f249a621,NOT_RELEVANT,none,medium,"No substantive content, mother's age only",no,False
6a97773b-c33c-4f2e-9ac3-fdd53de0f175,NOT_RELEVANT,none,high,"Cardiac rehab documentation, administrative",no,False
f32ee0c1-ea9c-4cfb-8332-bd9579d23024,NOT_RELEVANT,none,high,"Cardiologist vs endocrinologist difference, informational",no,False
b6eb69cb-b911-4c81-a7a1-357d21d27109,NOT_RELEVANT,none,high,"First seizure workup EEG/MRI, neurology",no,False
c0dc053b-157b-4d13-9956-213b67ff6a36,NOT_RELEVANT,none,high,"Child cold antibiotics, somatic",no,False
3bb4a735-ace7-4342-b7a5-0bae083e6f82,NOT_RELEVANT,none,high,"Hydrogen peroxide teeth whitening safety, dental",no,False
66b448bf-2e49-488d-9d0b-f9912ab3f0f8,NOT_RELEVANT,none,high,"Travel vaccine schedule, preventive medicine",no,False
b12d2453-fd3b-462c-b9cc-554ff16bfd3f,NOT_RELEVANT,none,medium,"Jet-lag grogginess, lifestyle; sleep incidental not psychological",no,False
0a548d04-0973-4343-a3bf-07f730bed2f6,NOT_RELEVANT,none,high,"Lipid panel patient message, administrative",yes,False
e2cd9f23-e3dd-4b67-8984-a5412dd802e5,NOT_RELEVANT,none,high,"School booster shot schedule, preventive",no,False
1fb6ab91-a999-437d-8c93-c5937c0a89a3,NOT_RELEVANT,none,high,"Eye pain, glaucoma history; ophthalmologic",no,False
42af0c9f-a715-45c4-ab24-c2948f6f943d,NOT_RELEVANT,none,high,"Migraine herbal remedy safety, neurology",no,False
a94aad40-387e-4a37-b92f-61badd57388b,NOT_RELEVANT,none,high,"HIV testing location, no mental health",no,False
596ba714-29f7-447e-aa73-88d46ecd6e88,NOT_RELEVANT,none,high,"PCOS keto diet efficacy, endocrine/nutrition",no,False
1233737e-2674-41d3-8519-b817aeb0b32e,NOT_RELEVANT,none,high,"Bloating reduction, gastrointestinal",no,False
c80a2a84-281d-41cc-a10b-32ee48c584f6,NOT_RELEVANT,none,high,"Low-dose aspirin benefits/risks, cardiovascular",no,False
bf7718f2-bceb-4702-8d74-a7fc1bd7fb78,BORDERLINE,sleep,medium,"Insomnia, sleeping pills; no explicit psychological framing",yes,False
b7a82324-73ee-4996-8f71-8f455f789e90,NOT_RELEVANT,none,high,"Raw milk safety, nutrition",no,False
22fe3eec-03b0-4cdf-a06a-87e71d236082,RELEVANT,psychiatric_medication,high,"Anxious, stopping anxiety medication (citalopram/clonazepam)",yes,False
6c568ea6-86bd-4286-94ba-e3ccc8b67b21,NOT_RELEVANT,none,high,"Newborn vitamin K injection, pediatric",no,False
905949d2-7a0a-4461-8f4b-257de6be6eed,NOT_RELEVANT,none,high,"Foot blackening, gangrene; vascular emergency",no,False
c653b6eb-f9b9-4626-b702-ff73d71e8253,BORDERLINE,cognitive_neuro,medium,"Psychiatry context, elderly restlessness/agitation; delirium-adjacent",yes,False
cf09b209-5434-4317-aa2a-7b07537b475e,NOT_RELEVANT,none,high,"Knee osteoarthritis pain, orthopedic",no,False
77c0be2e-364a-40de-ae21-a277154e3d60,NOT_RELEVANT,none,high,"Elderly polypharmacy renal toxicity, no psychiatric component",no,False
af750930-5fa5-4efe-8f85-b499641377d4,NOT_RELEVANT,none,medium,"Zika/microcephaly worry, infectious; concern about fetal not psychological",no,False
af62e0b8-bbd0-4dcc-b55c-cb4c7bbcfb2c,NOT_RELEVANT,none,medium,"Nocturnal trembling differential, seizure/neuro workup",no,False
f3729e05-61ef-4306-9491-6f5659d4eef9,NOT_RELEVANT,none,high,"Hypertension BP goal in elderly, cardiovascular",no,False
126236de-9e7a-4814-b5d7-98cbe89b33b2,NOT_RELEVANT,none,high,"Child stunting/nutrition, no mental health",no,False
9bb31d40-c155-4213-868d-103fa0cc7c56,NOT_RELEVANT,none,high,"Dull headache evaluation, somatic",no,False
97bec88b-6ef7-4f24-84d6-a2bcc592548b,RELEVANT,mood_depression_bipolar,high,asks whether LSD microdosing treats depression,yes,False
779b5d14-1a6f-4d0a-8763-e0a25961a811,NOT_RELEVANT,none,high,"sickle cell pain crisis, purely somatic",no,False
62b4d946-e447-4fb4-96ed-b6d36c8e2c62,NOT_RELEVANT,none,high,back pain disc procedure decision,no,False
d475913b-0b18-47e9-90b2-28449e1d6541,NOT_RELEVANT,none,high,routine men's health screening note,no,False
77dff7ec-2e02-4b93-86d6-5d7765b8dd3d,NOT_RELEVANT,none,high,pediatric fever dosing question,no,False
3a0eec54-fd86-47c1-883b-d8e828d2a327,NOT_RELEVANT,none,high,iron deficiency labs; borderline used non-psychiatrically,no,False
b947fc6f-1d50-4e3f-b679-8484529b787b,NOT_RELEVANT,none,high,"DKA precipitating factors, somatic",no,False
e8e17de2-9b5f-4f20-a18e-fdd14a8b7192,NOT_RELEVANT,none,high,foot blisters from shoes,no,False
b5b6d817-c524-4bef-badc-f93876657ea2,NOT_RELEVANT,none,high,CSS coding and spine surgery success rate,no,False
9ab66439-8090-4f6c-ba74-874591dfd1a6,NOT_RELEVANT,none,high,ACL injury prevention data,no,False
8e447490-23cd-4d64-9e3a-b8ad46c76573,BORDERLINE,substance_use,low,cocaine use mentioned but query is somatic chest pain,yes,False
762d9eca-4835-4447-a649-f91740c74bd0,NOT_RELEVANT,none,high,foot infection management,yes,False
5c1cf475-6fff-42e2-8508-7e1a14ea9f65,NOT_RELEVANT,none,high,"drug-resistant TB, somatic critical care",no,False
06fb659f-a4aa-4a97-a831-ed2cd2aa7e69,NOT_RELEVANT,none,high,pneumonia cough and antibiotics,no,False
608770a0-440d-4349-9a1c-863e9f4d3e24,NOT_RELEVANT,none,high,"toxoplasmosis from cat, infectious",no,False
a58987e9-8b59-461a-a68b-20efa1d37d51,NOT_RELEVANT,none,high,vitamin D daily dose,no,False
2d878243-5d98-489a-b8f2-8809f813b6cf,NOT_RELEVANT,none,high,cancer screening age guidelines,no,False
452a9534-b4fc-4483-94e0-d34b06b8e299,NOT_RELEVANT,none,high,"PSA screening age, somatic",no,False
e690c779-3cb8-4271-8541-a699bb1bd475,NOT_RELEVANT,none,high,creatinine renal labs,no,False
d984a2a8-1209-42bb-8f59-001421c96f8f,BORDERLINE,mood_depression_bipolar,low,"ambiguous BP could mean bipolar, never clarified",yes,False
5caa2d1f-3ab9-4e25-97a2-af29c2dbbcfb,NOT_RELEVANT,none,high,septic arthritis English editing,no,False
7b1d2983-ab41-48f2-bdcd-454cbf3f81b8,NOT_RELEVANT,none,high,sore shoulder from swimming,no,False
b267896f-cfc0-4bbe-9fda-fdfa287d1f43,NOT_RELEVANT,none,high,COPD assessment and SOAP note,no,False
ff514fc4-bd34-4a3f-be3f-840b0e1f8091,NOT_RELEVANT,none,high,HIV integrase regimen intervals,no,False
a131d5e7-2a27-426f-90f0-25eae3c4b490,NOT_RELEVANT,none,high,UTI symptoms and antibiotics,no,False
620b9bf1-f0f3-4d68-aa74-1560fb406a68,RELEVANT,mood_depression_bipolar,high,depression treatment via telehealth,yes,False
9b4c14e9-c404-4646-87b7-d3badae8a68b,NOT_RELEVANT,none,high,pregnancy nutrition and folic acid,no,False
9385d26b-bf44-4ff7-9410-e181413540dd,NOT_RELEVANT,none,high,"persistent cough, respiratory",no,False
a57a4b5e-0f12-4103-8852-72bd2b7dba24,NOT_RELEVANT,none,high,reducing dietary sugar intake,no,False
cf8040e2-39e3-4200-ab7f-b9b532310ac3,NOT_RELEVANT,none,high,meniscal tear surgery vs PT data,no,False
4fc7b71f-9591-4ae1-bfca-2929c7225182,NOT_RELEVANT,none,high,"mild concussion management, neuro/somatic",no,False
da05b57a-d776-45b6-96af-1750e0254eec,NOT_RELEVANT,none,high,heartburn after spicy meals,no,False
