review_id,prompt_id,kind,recovery_tier,recovery_bucket,recovery_reason
R0001,782f1249-1060-4204-925a-c8f26bdc06ce,candidate,POSSIBLE,B_somatic_emotion,User names fear about chest X-ray finding; 'ca me fait peur' and 'pas rassure'.
R0002,85408180-238e-4c1b-92c1-55d8ce6c3717,candidate,CLEAR,A_substance,Opioid overdose management with naloxone; overdose is in-scope behavioral health
R0003,4b3929a2-3c3b-4021-84df-3f728a09a0eb,candidate,POSSIBLE,B_somatic_emotion,User explicitly says terrified about fatigue and prediabetes symptoms affecting life.
R0004,52eae8cd-5f8f-4f7b-bd8b-3ba3b5fb5e2b,candidate,POSSIBLE,A_substance,User asks about using borrowed leftover antibiotic cephalexin from a friend
R0005,f9c9fab3-9214-4835-8c63-b86f313f59d6,control,NO (control),,
R0006,43d2bdaa-6061-4eee-91e1-310e4d50e17d,candidate,POSSIBLE,B_somatic_emotion,User explicitly names panicking over feared brain tumor diagnosis
R0007,16bd6476-82bc-4241-97a5-e4d1feac23a3,candidate,CLEAR,A_substance,Friend unconscious barely breathing after heavy drinking; acute alcohol overdose
R0008,4663ac1d-7810-4922-94a0-e8c0e4fbd5ff,candidate,POSSIBLE,A_substance,User seeking OTC codeine syrup access and brand names; opioid self-medication risk
R0009,940b7d31-4c10-40a4-b0f9-0381698af8f9,candidate,POSSIBLE,B_somatic_emotion,Polydipsia polyuria symptoms; user explicitly names being freaked out
R0010,c0435430-080a-486b-9a6b-8ab25b7b5db1,candidate,POSSIBLE,A_substance,"Seeking opioids online without prescription, desperate pain-driven opioid acquisition"
R0011,76a2faf6-f5b0-4657-b566-31580531f2a3,candidate,POSSIBLE,B_somatic_emotion,Scalp psoriasis patient names desperation/despair about unaffordable treatment.
R0012,5f115330-b0d3-4966-9328-8dea65a9ff24,candidate,POSSIBLE,B_somatic_emotion,"Clinician explicitly names exhaustion, anxiety, fear of making errors at 2am"
R0013,030b9517-fa04-4b01-9c00-ee192f15b05b,candidate,POSSIBLE,A_substance,"User requests opioid prescription, escalating from OTC, possible opioid-seeking behavior."
R0014,2694a753-2f57-41eb-a7f9-8c4c7acdd2e8,candidate,POSSIBLE,B_somatic_emotion,User explicitly names worry about aneurysm/tumor with pounding headaches
